name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,loot
Elf,https://highspell.fandom.com/wiki/Elf,35,45,???,No,40 + 25 bonus,30 + 25 bonus,35 + 30 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.35"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""40"", ""rarity"": ""0.04"", ""chance"": """"}, {""item"": ""Elf Ears"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Green Cape"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Gloves"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}, {""item"": ""Steel Longsword"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": """"}, {""item"": ""Steel Platelegs"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": """"}]"
Farmer,https://highspell.fandom.com/wiki/Farmer,5,13,???,No,1,2,5,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.2"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""0.15"", ""chance"": """"}, {""item"": ""Potato"", ""quantity"": ""1"", ""rarity"": ""0.15"", ""chance"": """"}, {""item"": ""Bronze Gloves"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Wheat"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Corn"", ""quantity"": ""1"", ""rarity"": ""0.075"", ""chance"": """"}, {""item"": ""Tomato"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Onion"", ""quantity"": ""1"", ""rarity"": ""0.045"", ""chance"": """"}, {""item"": ""Acorn"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Iron Gloves"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}, {""item"": ""Pumpkin"", ""quantity"": ""1"", ""rarity"": ""0.0025"", ""chance"": """"}]"
Fighter Gnome,https://highspell.fandom.com/wiki/Fighter_gnome,30,32,???,No,16 + 15 bonus,16 + 15 bonus,20 + 15 bonus,15 + 5 bonus,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""1/4"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Scroll (IOU)"", ""quantity"": ""8"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Pine Scroll (IOU)"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Oak Scroll (IOU)"", ""quantity"": ""2"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""4"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""2"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""2"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Lucky Scroll (IOU)"", ""quantity"": ""2"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Acorn"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Steel Helm"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Steel Longsword"", ""quantity"": ""1"", ""rarity"": ""1/118"", ""chance"": """"}, {""item"": ""Steel Gloves"", ""quantity"": ""1"", ""rarity"": ""1/118"", ""chance"": """"}, {""item"": ""Emerald Necklace"", ""quantity"": ""1"", ""rarity"": ""1/118"", ""chance"": """"}, {""item"": ""Steel Shield"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Steel Platelegs"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Gnome's Hat"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}]"
Fire Dragon,https://highspell.fandom.com/wiki/Fire_Dragon,131,130,?,Yes,110,110,110 + 85 bonus,90,1,1,30s,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""50"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""15"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""10"", ""rarity"": ""1/13.3"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""100"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Cherry Logs"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""3"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Red Cape"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Marlin"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Fire Scroll"", ""quantity"": ""30"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""10"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""7"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""High Root Table"", ""quantity"": """", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Palladium Full Helm"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""5"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Lucky Logs"", ""quantity"": ""10"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Cooked Chicken"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Palladium Longsword"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Sakura Scroll"", ""quantity"": ""15"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Palladium Arrows"", ""quantity"": ""15"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Potion of Strength (2)"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Blood Scroll"", ""quantity"": ""2"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Ruby"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Coronium Arrows"", ""quantity"": ""10"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Coronium Bar"", ""quantity"": ""2"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Deadwood Logs"", ""quantity"": ""5"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Deadwood Bow"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Coronium Chainmail"", ""quantity"": ""1"", ""rarity"": ""1/666.6"", ""chance"": """"}, {""item"": ""Celadon Full Helmet"", ""quantity"": ""1"", ""rarity"": ""1/2000"", ""chance"": """"}, {""item"": ""Helmet of Melee"", ""quantity"": ""1"", ""rarity"": ""1/5000"", ""chance"": """"}, {""item"": ""Celadon Chestplate"", ""quantity"": ""1"", ""rarity"": ""1/5000"", ""chance"": """"}]"
Fisherman,https://highspell.fandom.com/wiki/Fisherman,8,12,???,No,5,5,5,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Basic Rod"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""3"", ""rarity"": ""0.5"", ""chance"": ""12{\\displaystyle \\frac{1}{2}}""}, {""item"": ""Raw Bass"", ""quantity"": ""1"", ""rarity"": ""0.25"", ""chance"": ""14{\\displaystyle \\frac{1}{4}}""}, {""item"": ""Raw Bluegill"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Logs"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Raw Crab"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Raw Tuna"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Great Rod"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Potion of Fishing (1)"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Starfish"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}]"
Forest giant,https://highspell.fandom.com/wiki/Forest_giant,58,75,???,Yes,45 + 42 bonus,45 + 42 bonus,45 + 30 bonus,1,1,1,Unknown,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""High Root Loot Table"", ""quantity"": """", ""rarity"": ""1/4"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""1/6.6"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""1/6.6"", ""chance"": """"}, {""item"": ""Leaf"", ""quantity"": ""1"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Iron Bar"", ""quantity"": ""1"", ""rarity"": ""1/13.3"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""1"", ""rarity"": ""1/16.6"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""2"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Steak"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Seaweed"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Fury Scroll"", ""quantity"": ""5"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""3"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""3"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Alchemy Scroll"", ""quantity"": ""2"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""2"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Iron Shield"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Iron Great Sword"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Emerald Necklace"", ""quantity"": ""1"", ""rarity"": ""1/133.3"", ""chance"": """"}, {""item"": ""Pinecone"", ""quantity"": ""1"", ""rarity"": ""1/66.6"", ""chance"": """"}, {""item"": ""Acorn"", ""quantity"": ""1"", ""rarity"": ""1/66.6"", ""chance"": """"}, {""item"": ""Helmet of Ranging"", ""quantity"": ""1"", ""rarity"": ""1/10,000"", ""chance"": """"}]"
Forest Warrior,https://highspell.fandom.com/wiki/Forest_warrior,49,60,???,Yes,40 + 36 bonus,40 + 36 bonus,40 + 36 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Medium Root Loot Table"", ""quantity"": """", ""rarity"": ""1/2"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""1/6.6"", ""chance"": """"}, {""item"": ""Nature scroll"", ""quantity"": ""5"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Bronze Helm"", ""quantity"": ""1"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Nature Scroll"", ""quantity"": ""10"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Bronze Platelegs"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Bronze Battleaxe"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Pinecone"", ""quantity"": ""1"", ""rarity"": ""1/66.6"", ""chance"": """"}, {""item"": ""Acorn"", ""quantity"": ""1"", ""rarity"": ""1/66.6"", ""chance"": """"}, {""item"": ""Helmet of Ranging"", ""quantity"": ""1"", ""rarity"": ""1/16,000"", ""chance"": """"}]"
Frost Giant,https://highspell.fandom.com/wiki/Frost_giant,73,85,???,Yes,60 + 25 bonus,60 + 35 bonus,55 + 20 bonus,1,1,1,Unknown,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""1/4"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""15"", ""rarity"": ""1/13.3"", ""chance"": """"}, {""item"": ""High Root Loot Table"", ""quantity"": """", ""rarity"": ""1/13.3"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""70"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Coal"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Pine Logs (IOU)"", ""quantity"": ""7"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Palladium Arrows"", ""quantity"": ""3"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Grapes"", ""quantity"": ""1"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Rage Scroll"", ""quantity"": ""8"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""2"", ""rarity"": ""1/33.3"", ""chance"": """"}, {""item"": ""Blue Cape"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Raw Marlin"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Iron Great Sword"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Pine Bow"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Unstrung Pine Bow (IOU)"", ""quantity"": ""5"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Palladium Bar"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Palladium Hatchet"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Potion of Magic (2)"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Palladium Shield"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Sapphire Necklace"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Palladium Battleaxe"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Palladium Chestplate"", ""quantity"": ""1"", ""rarity"": ""1/200"", ""chance"": """"}, {""item"": ""Helmet of Magic"", ""quantity"": ""1"", ""rarity"": ""1/10,000"", ""chance"": """"}]"
Frost Warrior,https://highspell.fandom.com/wiki/Frost_warrior,59,68,9,Yes,50 + 20 bonus,50 + 25 bonus,50 + 20 bonus,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""1/3.3"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""40"", ""rarity"": ""1/10"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""75"", ""rarity"": ""1/16.6"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""37"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Raw Bluegill"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Pine Logs"", ""quantity"": ""1"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Water Scroll"", ""quantity"": ""10"", ""rarity"": ""1/20"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""125"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Palladium Ore (IOU)"", ""quantity"": ""1"", ""rarity"": ""1/25"", ""chance"": """"}, {""item"": ""Pine Scroll (IOU)"", ""quantity"": ""5"", ""rarity"": ""1/33.3"", ""chance"": """"}, {""item"": ""Palladium Arrows"", ""quantity"": ""5"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Palladium Arrowheads"", ""quantity"": ""10"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Iron Battleaxe"", ""quantity"": ""1"", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""1/40"", ""chance"": """"}, {""item"": ""Palladium Helm"", ""quantity"": ""1"", ""rarity"": ""1/50"", ""chance"": """"}, {""item"": ""Palladium Full Helm"", ""quantity"": ""1"", ""rarity"": ""1/66.6"", ""chance"": """"}, {""item"": ""Palladium Platelegs"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Sapphire Gem"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Silver Bar"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Grapes"", ""quantity"": ""1"", ""rarity"": ""1/100"", ""chance"": """"}, {""item"": ""Helmet of Magic"", ""quantity"": ""1"", ""rarity"": ""1/16,000"", ""chance"": """"}]"
Ghost,https://highspell.fandom.com/wiki/Ghost,20,20,???,No,10,10,8 + 5 bonus,1,1,1,Unknown,"[{""item"": ""N/A"", ""quantity"": ""N/A"", ""rarity"": ""N/A"", ""chance"": """"}]"
Giant Hell Rat,https://highspell.fandom.com/wiki/Giant_hell_rat,66,60,???,Yes,50,60,50,1,1,1,Unknown,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Rodent Meat"", ""quantity"": ""1"", ""rarity"": ""0.15"", ""chance"": """"}]"
Giant Skeleton,https://highspell.fandom.com/wiki/Giant_skeleton,60,55,???,Yes,40 + 10 bonus,50 + 10 bonus,35 + 20 bonus,1,1,1,Unknown,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""10"", ""rarity"": ""0.25"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""25"", ""rarity"": ""0.1"", ""chance"": """"}, {""item"": ""Coins"", ""quantity"": ""50"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Grapes"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Iron Ore (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Great Rod"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Bronze Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.05"", ""chance"": """"}, {""item"": ""Coal (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.04"", ""chance"": """"}, {""item"": ""Steel Gloves"", ""quantity"": ""1"", ""rarity"": ""0.035"", ""chance"": """"}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Steel Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Warp Scroll"", ""quantity"": ""3"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""String (IOU)"", ""quantity"": ""5"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Iron Arrows"", ""quantity"": ""5"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Steel Bar"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Piranha"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Potion of Defence (1)"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": """"}, {""item"": ""Iron Chainmail Body"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.021"", ""chance"": """"}, {""item"": ""Steel Hatchet"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": """"}, {""item"": ""Steel Shield"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": """"}, {""item"": ""Emerald Necklace"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": """"}, {""item"": ""Topaz Necklace"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": """"}]"
Giant,https://highspell.fandom.com/wiki/Giant,43,55,???,Yes,40 + 5 bonus,45 + 5 bonus,30 + 5 bonus,1,1,1,Unknown,"[{""item"": ""Giant Bones"", ""quantity"": ""1"", ""rarity"": ""Always"", ""chance"": ""11{\\displaystyle \\frac{1}{1}}""}, {""item"": ""Coins"", ""quantity"": ""20"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Energy Scroll"", ""quantity"": ""3"", ""rarity"": ""0.15"", ""chance"": ""16.667{\\displaystyle {\\frac {1}{6.667}}}""}, {""item"": ""Raw Bass"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Bass"", ""quantity"": ""1"", ""rarity"": ""0.1"", ""chance"": ""110{\\displaystyle \\frac{1}{10}}""}, {""item"": ""Iron Ore"", ""quantity"": ""1"", ""rarity"": ""0.09"", ""chance"": ""111.111{\\displaystyle {\\frac {1}{11.111}}}""}, {""item"": ""Low Root Table"", ""quantity"": """", ""rarity"": """", ""chance"": ""113.333{\\displaystyle {\\frac {1}{13.333}}}""}, {""item"": ""Coins"", ""quantity"": ""80"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Water Scroll"", ""quantity"": ""5"", ""rarity"": ""0.05"", ""chance"": ""120{\\displaystyle \\frac{1}{20}}""}, {""item"": ""Great Rod"", ""quantity"": ""1"", ""rarity"": ""0.04"", ""chance"": ""125{\\displaystyle \\frac{1}{25}}""}, {""item"": ""Potato"", ""quantity"": ""1"", ""rarity"": ""0.0275"", ""chance"": ""136.364{\\displaystyle {\\frac {1}{36.364}}}""}, {""item"": ""Oak Logs (IOU)"", ""quantity"": ""3"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Giant's Milk"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Iron Hatchet"", ""quantity"": ""1"", ""rarity"": ""0.025"", ""chance"": ""140{\\displaystyle \\frac{1}{40}}""}, {""item"": ""Iron Bar (IOU)"", ""quantity"": ""1"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Coal (IOU)"", ""quantity"": ""2"", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Rare Loot Table"", ""quantity"": """", ""rarity"": ""0.02"", ""chance"": ""150{\\displaystyle \\frac {1}{50}}""}, {""item"": ""Half Calcium Brew"", ""quantity"": ""1"", ""rarity"": ""0.0125"", ""chance"": ""180{\\displaystyle {\\frac {1}{80}}}""}, {""item"": ""Iron Battleaxe"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Longsword"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Pickaxe"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Helm"", ""quantity"": ""1"", ""rarity"": ""0.01"", ""chance"": ""1100{\\displaystyle \\frac {1}{100}}""}, {""item"": ""Iron Full Helm"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1133.333{\\displaystyle {\\frac {1}{133.333}}}""}, {""item"": ""Iron Platelegs"", ""quantity"": ""1"", ""rarity"": ""0.0075"", ""chance"": ""1133.333{\\displaystyle {\\frac {1}{133.333}}}""}, {""item"": ""Iron Shield"", ""quantity"": ""1"", ""rarity"": ""0.006"", ""chance"": ""1166.667{\\displaystyle {\\frac {1}{166.667}}}""}, {""item"": ""Iron Great Sword"", ""quantity"": ""1"", ""rarity"": ""0.006"", ""chance"": ""1166.667{\\displaystyle {\\frac {1}{166.667}}}""}, {""item"": ""Iron Chestplate"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}, {""item"": ""Emerald Necklace"", ""quantity"": ""1"", ""rarity"": ""0.005"", ""chance"": ""1200{\\displaystyle \\frac{1}{200}}""}]"
