name,url,level,hitpoints,max_hit,aggressive,accuracy,strength,defence,magic,range,speed,respawn_timer,rare_prob,root_prob,drop_table,rare_drop_table
Plains Dragon,https://highspell.fandom.com/wiki/Plains_dragon,84,85,???,Yes,70,70,50 + 30 bonus,70,1,1,Unknown,0.02,0.08,[],"[{""item"": ""Rough Amethyst"", ""quantity"": ""1"", ""rarity"": ""20%"", ""chance"": ""1/125""}, {""item"": ""Rough Sapphire"", ""quantity"": ""1"", ""rarity"": ""17.5%"", ""chance"": ""1/200""}, {""item"": ""Rough Emerald"", ""quantity"": ""1"", ""rarity"": ""15%"", ""chance"": ""1/333.3""}, {""item"": ""Rough Topaz"", ""quantity"": ""1"", ""rarity"": ""12.5%"", ""chance"": ""1/666.6""}, {""item"": ""Rough Citrine"", ""quantity"": ""1"", ""rarity"": ""10%"", ""chance"": ""1/1000""}, {""item"": ""Rough Ruby"", ""quantity"": ""1"", ""rarity"": ""7.5%"", ""chance"": ""1/2000""}, {""item"": ""Rough Diamond"", ""quantity"": ""1"", ""rarity"": ""5%"", ""chance"": ""1/3333.3""}, {""item"": ""Rough Carbonado"", ""quantity"": ""1"", ""rarity"": ""2.5%"", ""chance"": ""1/5000""}, {""item"": ""Warp Scroll"", ""quantity"": ""50"", ""rarity"": ""1%"", ""chance"": ""1/5000""}, {""item"": ""Alchemy Scroll"", ""quantity"": ""50"", ""rarity"": ""1%"", ""chance"": ""1/5000""}, {""item"": ""Celadium Ore"", ""quantity"": ""1"", ""rarity"": ""1%"", ""chance"": ""1/10,204""}]"
Rat,https://highspell.fandom.com/wiki/Rat,1,3,???,No,1,1,1,1,1,1,Unknown,Never,Never,[],[]
Rooster,https://highspell.fandom.com/wiki/Rooster,4,8,???,Yes,4,8,3,1,1,1,Unknown,Never,Never,[],[]
Sage,https://highspell.fandom.com/wiki/Sage,27,28,???,No,15,15,30 + 10 bonus,1 + 10 bonus,1,1,Unknown,0.02,0.3,[],[]
Sewer rat,https://highspell.fandom.com/wiki/Sewer_rat,10,12,Unknown,Yes,10,10,8,1,1,1,Unknown,Never,Never,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Raw rodent meat"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Rat tail"", ""quantity"": ""1"", ""rarity"": ""~1/6.66""}]",[]
Skeletal Dwarf,https://highspell.fandom.com/wiki/Skeletal_Dwarf,44,56,???,???,32 + 10 bonus,38 + 10 bonus,25 + 25 bonus,1,1,1,Unknown,0.015,0.2,[],[]
Skeletal Mage,https://highspell.fandom.com/wiki/Skeletal_mage,39,40,???,Yes,35,35,35 + 5 bonus,30 + 20 bonus,1,1,Unknown,0.025,Never,[],[]
Skeleton (Lvl 20),https://highspell.fandom.com/wiki/Skeleton_(Lvl_20),20,18,???,Yes,20,20,20,1,1,1,Unknown,0.01,0.15,[],[]
Skeleton (Lvl 45),https://highspell.fandom.com/wiki/Skeleton_(Lvl_45),45,45,???,Yes,40 + 15 bonus,40 + 15 bonus,40 + 20 bonus,1,1,1,Unknown,0.02,0.15,[],[]
Squire,https://highspell.fandom.com/wiki/Squire,20,24,3,No,15 + 10 bonus,15 + 10 bonus,15 + 10 bonus,1,1,1,Unknown,0.015,Never,[],[]
Squirrel,https://highspell.fandom.com/wiki/Squirrel,2,4,2,No,1,2,2,1,1,1,Unknown,Never,Never,"[{""item"": ""Raw rodent meat"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Squirrel pelt"", ""quantity"": ""1"", ""rarity"": ""Always""}]",[]
Undead Pirate,https://highspell.fandom.com/wiki/Undead_Pirate,34,35,?,Yes,30,30,25,1,1,1,Unknown,0.075,0.1,[],[]
Water Dragon,https://highspell.fandom.com/wiki/Water_Dragon,109,100,N/A,Yes,85,90,85 + 65 bonus,80,1,1,Unknown,N/A,N/A,[],[]
Witch,https://highspell.fandom.com/wiki/Witch,15,20,Unknown,Yes,10,10,10,15,1,1,Unknown,1/100,1/4,"[{""item"": ""Bones"", ""quantity"": ""1"", ""rarity"": ""Always""}, {""item"": ""Coins"", ""quantity"": ""5"", ""rarity"": ""1/5""}, {""item"": ""Coins"", ""quantity"": ""7"", ""rarity"": ""~1/6.66""}, {""item"": ""Coins"", ""quantity"": ""15"", ""rarity"": ""1/10""}, {""item"": ""Energy scroll"", ""quantity"": ""2"", ""rarity"": ""1/20""}, {""item"": ""Water scroll"", ""quantity"": ""2"", ""rarity"": ""1/20""}, {""item"": ""Nature scroll"", ""quantity"": ""2"", ""rarity"": ""1/20""}, {""item"": ""Fire scroll"", ""quantity"": ""2"", ""rarity"": ""1/20""}, {""item"": ""Fury scroll"", ""quantity"": ""2"", ""rarity"": ""1/20""}, {""item"": ""Pestle and mortar"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Onion"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Tomato"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Scroll"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Pine scroll"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Oak scroll"", ""quantity"": ""1"", ""rarity"": ""1/40""}, {""item"": ""Witch's top"", ""quantity"": ""1"", ""rarity"": ""1/50""}, {""item"": ""Witch's bottoms"", ""quantity"": ""1"", ""rarity"": ""1/50""}, {""item"": ""Witch's hat"", ""quantity"": ""1"", ""rarity"": ""1/50""}, {""item"": ""Pinecone"", ""quantity"": ""1"", ""rarity"": ""1/100""}, {""item"": ""Bone meal"", ""quantity"": ""1"", ""rarity"": ""1/100""}, {""item"": ""Warp scroll"", ""quantity"": ""1"", ""rarity"": ""1/100""}]",[]
Wizard (Lvl 16),https://highspell.fandom.com/wiki/Wizard_(Lvl_16),16,22,???,No,10 + 3 bonus,10 + 3 bonus,10 + 3 bonus,18 + 10 bonus,1,1,Unknown,0.01,Never,[],[]
Wizard (Lvl 40),https://highspell.fandom.com/wiki/Wizard_(Lvl_40),40,45,???,No,30 + 3 bonus,30 + 3 bonus,25 + 3 bonus,35 + 20 bonus,1,1,Unknown,0.04,0.05,[],[]
Zombie (Lvl 16),https://highspell.fandom.com/wiki/Zombie_(Lvl_16),16,20,???,Yes,14,17,16,1,1,1,Unknown,0.02,0.1,[],[]
Zombie (Lvl 24),https://highspell.fandom.com/wiki/Zombie_(Lvl_24),24,28,???,Yes,20 + 3 bonus,20 + 3 bonus,20 + 5 bonus,1,1,1,Unknown,0.025,0.15,[],[]
